"run","b","sim","BM_AICc","OU_AICc","BS_AICc","cv","BM_wt","OU_wt","BS_wt","fc","lambda"
801,100,1,-745.032232587271,-744.837961601971,-743.888351296833,-1,0.404553317825728,0.367105049987824,0.228341632186449,2,0.999780077560281
801,100,2,-89.0957041563126,-87.2108211514196,-85.0501561352661,-0.95,0.65704608090711,0.256034615451371,0.086919303641519,2,0.998216314341106
801,100,3,-16.8619855137116,-16.4828564371881,-15.1942294263699,-0.9,0.442149029867052,0.365798435357691,0.192052534775257,2,0.999898466452193
801,100,4,-8.30079017343455,-6.17460417926512,-4.14452262354429,-0.85,0.680017931649349,0.234868591071329,0.0851134772793216,2,1
801,100,5,7.66479609070628,5.56922133986259,7.36802606985286,-0.8,0.199549234013332,0.568981754859587,0.231469011127081,2,0.999693738638088
801,100,6,69.8452538314329,68.6037824141422,70.3886089057216,-0.75,0.276060364466097,0.513554039944465,0.210385595589437,2,1
801,100,7,65.7483936869887,67.2916367925066,65.3940291880174,-0.7,0.376490214881126,0.174037449740816,0.449472335378057,2,1
801,100,8,63.919601255022,66.0459396493417,67.4788847743882,-0.65,0.660476621356095,0.228101916393091,0.111421462250814,2,1
801,100,9,118.321431507183,116.165922774591,117.467499913361,-0.6,0.182792815166762,0.537058872225362,0.280148312607876,2,1
801,100,10,97.307318144352,99.4336642321921,101.159960093968,-0.55,0.670672180724264,0.231622159310048,0.0977056599656878,2,1
801,100,11,144.611017125968,146.737388468855,148.86762034548,-0.5,0.682876716995079,0.235834118372426,0.0812891646324946,2,1
801,100,12,104.132486993626,106.258763062586,108.237702545904,-0.45,0.678531949858996,0.234344799427402,0.0871232507136023,2,1
801,100,13,154.773379347237,151.356896311507,153.518527835966,-0.4,0.119160668365179,0.657677213956908,0.223162117677913,2,0.993880097153896
801,100,14,152.035224981542,153.198540890648,151.561578335804,-0.35,0.353833495511161,0.197782609610645,0.448383894878194,2,0.979885680713517
801,100,15,160.613674038955,162.378842915154,164.329175284715,-0.3,0.637049997427326,0.263555429182799,0.0993945733898749,2,0.997964423772094
801,100,16,181.633483490118,183.759759952743,185.925131953381,-0.25,0.683834635284785,0.236176143124358,0.0799892215908569,2,1
801,100,17,192.173853022341,194.176049826466,195.127406014034,-0.2,0.626625997786482,0.230269754156617,0.143104248056901,2,0.987355856920286
801,100,18,167.690242956096,169.816543950559,170.073632911116,-0.15,0.606401634404145,0.209430518905369,0.184167846690486,2,1
801,100,19,204.114329097131,202.210093642905,203.631963774815,-0.1,0.20559443909313,0.532734519648206,0.261671041258665,2,0.98821582980509
801,100,20,189.909650190676,191.939337388948,193.12322445344,-0.0499999999999999,0.639799369640084,0.231901112861173,0.128299517498743,2,0.997889698162556
801,100,21,178.130182965449,179.232916066969,181.396287935808,0,0.564495173482429,0.325240621657214,0.110264204860357,2,1
801,100,22,203.70915426182,204.348996173228,206.387525621217,0.05,0.502950959399435,0.365246224352967,0.131802816247598,2,1
801,100,23,191.038990122377,193.165585601839,194.094467703874,0.1,0.640065122864838,0.221024197378032,0.13891067975713,2,1
801,100,24,198.639131851038,200.765281270913,202.933580805431,0.15,0.683900921330231,0.236214040516859,0.0798850381529103,2,0.998998735359712
801,100,25,209.039575210876,211.165628668526,213.327979260969,0.2,0.683727836967548,0.236165589744834,0.0801065732876183,2,1
801,100,26,181.279708993974,183.372341629113,183.46903308496,0.25,0.593161369833709,0.208335584980848,0.198503045185443,2,1
801,100,27,221.636345608027,222.414320010984,223.743809523932,0.3,0.493491543824785,0.334460411783541,0.172048044391674,2,1
801,100,28,223.04199645684,225.168270331805,225.745278431691,0.35,0.62336914847025,0.215293441010378,0.161337410519372,2,1
801,100,29,201.385950808237,202.886043887284,204.874083698627,0.4,0.607108263244126,0.286764291265222,0.106127445490652,2,1
801,100,30,232.101295885692,234.22758777638,236.391846919897,0.45,0.683805859757018,0.236164383126514,0.0800297571164681,2,1
801,100,31,249.120236982346,251.229117340269,253.096153276786,0.5,0.673236453642808,0.234547102600895,0.0922164437562965,2,1
801,100,32,257.987498171008,260.113721299993,261.456763206935,0.55,0.657097356868038,0.226947934328798,0.115954708803164,2,1
801,100,33,249.241157043621,251.319967815724,252.56278565233,0.6,0.647815610020443,0.229109651707724,0.123074738271833,2,1
801,100,34,240.208485925472,241.712369349953,243.430611339901,0.65,0.598399085830601,0.282115394256195,0.119485519913204,2,0.997137968053073
801,100,35,251.483342534348,253.609621260576,253.556446330363,0.7,0.588219585689084,0.203153319028288,0.208627095282628,2,1
801,100,36,286.671281898823,288.79753656918,290.713944510511,0.75,0.676657287351598,0.233699847041441,0.0896428656069612,2,1
801,100,37,265.348205726156,267.474457230816,269.130252812297,0.8,0.66831882858284,0.230820325374791,0.100860846042368,2,1
801,100,38,252.317082408438,253.679630175401,255.55716105929,0.85,0.586901663994499,0.296955827654428,0.116142508351073,2,1
801,100,39,286.379378487361,288.506279615781,288.353608611091,0.9,0.582101784507622,0.200977860595221,0.216920354897157,2,1
801,100,40,266.685336939295,266.288017389719,268.220952116439,0.95,0.372606534415753,0.454493117345948,0.172900348238299,2,0.999372361063222
801,100,41,261.086210113949,263.212356147271,265.193407968992,1,0.678580178226554,0.234376694240393,0.0870431275330526,2,1
