"run","b","sim","BM_AICc","OU_AICc","BS_AICc","cv","BM_wt","OU_wt","BS_wt","fc","lambda"
654,100,1,151.035685830744,145.256261654355,146.936405623976,-1,0.0373786560396813,0.672372118870993,0.290249225089326,2,0.999948401590262
654,100,2,181.468685124665,178.229888333538,179.521152171636,-0.95,0.114969616378457,0.580602457117765,0.304427926503778,2,1
654,100,3,194.791065995231,196.734889366021,198.855182282357,-0.9,0.662504137883009,0.25066443148835,0.0868314306286409,2,1
654,100,4,214.452856871917,215.498662931178,215.154893124969,-0.85,0.435394407281919,0.25810055939391,0.306505033324171,2,0.999778128445565
654,100,5,128.518192510512,130.644535229529,131.342042390558,-0.8,0.629313713915724,0.21733903837828,0.153347247705996,2,1
654,100,6,240.46645857929,238.033098363457,239.310009159392,-0.75,0.162368454650208,0.548149616235355,0.289481929114436,2,0.987809207923605
654,100,7,217.403067208479,210.760708732459,212.861022622348,-0.7,0.0260536832542508,0.721504336025098,0.252441980720651,2,0.997155998876823
654,100,8,168.359523815483,168.122751081369,169.84356145448,-0.65,0.38434477147023,0.432648819794347,0.183006408735423,2,1
654,100,9,186.384020020799,184.203144030488,183.905266614592,-0.6,0.134606942254858,0.400533331580938,0.464859726164204,2,1
654,100,10,179.005811302192,177.66984062779,178.535983474934,-0.55,0.237242068352537,0.462694191586354,0.300063740061109,2,1
654,100,11,201.466691465236,200.455148933246,202.625056584063,-0.5,0.310692138049642,0.515209584504801,0.174098277445557,2,0.999109664772298
654,100,12,217.462762024662,213.164247941994,215.262715008486,-0.45,0.0794740773178881,0.68176698711906,0.238758935563052,2,0.981757571394103
654,100,13,243.196965380125,244.319886565865,246.089183841694,-0.4,0.553752753880698,0.315846931304897,0.130400314814405,2,1
654,100,14,200.904477504552,198.758984795371,200.398912822395,-0.35,0.191901740467109,0.561005005094512,0.24709325443838,2,0.986686353370804
654,100,15,194.069618278159,191.579463143171,193.257215881011,-0.3,0.167383381696504,0.581356663755117,0.251259954548378,2,1
654,100,16,220.759396637751,222.722853072861,224.71514407224,-0.25,0.660927103588375,0.247624957701172,0.091447938710453,2,1
654,100,17,281.819718898148,283.945758200897,283.806016087936,-0.2,0.58281178512725,0.201309725372076,0.215878489500675,2,0.9996695836049
654,100,18,241.227737251598,243.307985322961,242.007807364837,-0.15,0.492503121601695,0.174055943722859,0.333440934675446,2,0.995022518794141
654,100,19,202.319377322196,200.740289687062,202.392810389559,-0.1,0.240018768591703,0.528615296925594,0.231365934482703,2,1
654,100,20,263.975452054127,261.981459223597,263.001792842768,-0.0499999999999999,0.18736139413947,0.507773639152501,0.30486496670803,2,1
654,100,21,215.642118796237,-559.494335231691,219.825775816585,0,4.8001813671833e-169,1,5.92636052331633e-170,2,1
654,100,22,241.072430899615,241.924352255517,243.707208320581,0.05,0.52056876357344,0.340005336131012,0.139425900295548,2,1
654,100,23,221.062582126591,223.176164478464,224.112405757855,0.1,0.638892085431058,0.222059282339514,0.139048632229428,2,0.99972078255872
654,100,24,235.396291923119,235.374176128157,237.543305532276,0.15,0.425002556625287,0.429728271406692,0.145269171968021,2,1
654,100,25,259.068267252159,261.194665892314,263.365673477485,0.2,0.684001788608517,0.236219442115843,0.0797787692756404,2,0.998230130540655
654,100,26,255.147677271002,257.273983933951,258.575885861402,0.25,0.655527064386811,0.22639613146936,0.118076804143829,2,0.999445580211561
654,100,27,257.046878272289,258.006352904335,260.086240388074,0.3,0.544150282876641,0.336799617934772,0.119050099188587,2,0.998436112412684
654,100,28,232.164094971829,234.289928350915,233.724154064107,0.35,0.554373125140054,0.191506410179133,0.254120464680812,2,1
654,100,29,234.333577122844,236.459936618295,238.291169640105,0.4,0.674040010605785,0.232783706545343,0.0931762828488722,2,1
654,100,30,233.400895684997,234.555884668693,236.635887084972,0.45,0.568279370686017,0.318976890234264,0.112743739079719,2,1
654,100,31,260.730008120745,261.211542589099,263.193153454585,0.5,0.481264881575296,0.378286019070415,0.140449099354289,2,0.999181687985322
654,100,32,263.414600791015,262.962002741369,265.039427784513,0.55,0.37068115646799,0.464815848023195,0.164502995508814,2,1
654,100,33,269.260370542568,267.920576736794,269.74036298763,0.6,0.267332024900083,0.522376361789697,0.21029161331022,2,1
654,100,34,234.200569010636,236.267616616441,237.999144693626,0.65,0.664263659205965,0.236312562203648,0.0994237785903875,2,0.999748187700128
654,100,35,288.790287974786,286.005900477705,287.171730007409,0.7,0.137552431663315,0.553465220260672,0.308982348076012,2,1
654,100,36,288.290473874947,289.900832301151,291.937448001795,0.75,0.621709002617344,0.277908779545889,0.100382217836767,2,1
654,100,37,271.251115021342,273.328747095632,275.428246977444,0.8,0.676709926149145,0.239469647118299,0.0838204267325557,2,1
654,100,38,284.189058003363,286.315331040465,286.976319651169,0.85,0.627532311143754,0.216731366225011,0.155736322631235,2,1
654,100,39,291.246114190435,286.558323492455,288.55934733618,0.9,0.0655576892533585,0.683226107949691,0.25121620279695,2,0.986511850622979
654,100,40,270.040235744295,266.353631938392,268.44595441479,0.95,0.104859727958407,0.662436984606399,0.232703287435194,2,1
654,100,41,297.779650250451,299.905907536188,302.062174742384,1,0.683583071329017,0.236091524156035,0.0803254045149483,2,1
