"run","b","sim","BM_AICc","OU_AICc","BS_AICc","cv","BM_wt","OU_wt","BS_wt","fc","lambda"
404,100,1,159.619591266468,154.366347641041,156.485589674784,-1,0.0509703883827579,0.704766580758658,0.244263030858584,2,1
404,100,2,229.313181559917,227.712900465753,229.875392559239,-0.95,0.251205634551022,0.559147002118618,0.189647363330361,2,0.998414423335362
404,100,3,253.263609192853,253.925305432402,255.319320950333,-0.9,0.481675265072747,0.345994210862653,0.1723305240646,2,0.997814365386874
404,100,4,219.442518241752,209.122203893483,210.657140635502,-0.85,0.00390549683625328,0.68030564840272,0.315788854761027,2,1
404,100,5,195.63628742124,196.829263296709,198.989354220741,-0.8,0.575452243130371,0.316925998598401,0.107621758271228,2,0.999992328280831
404,100,6,217.243179340109,219.3699056375,221.152754442149,-0.75,0.672546000952016,0.232225147246984,0.0952288518010004,2,1
404,100,7,198.979552789914,197.281698594624,199.187303462528,-0.7,0.235933879288799,0.551410031336437,0.212656089374764,2,1
404,100,8,224.084881959429,226.116290665159,228.08975714594,-0.65,0.667934382468072,0.241890606816584,0.0901750107153436,2,1
404,100,9,194.382672395515,196.508963442977,198.091171112697,-0.6,0.66580637188208,0.229948040292233,0.104245587825687,2,1
404,100,10,175.191766301858,176.050269883187,177.689075271687,-0.55,0.516026080945944,0.335930911407213,0.148043007646843,2,0.990905218071398
404,100,11,324.939135977814,321.682401648158,323.593254930691,-0.5,0.124138170885652,0.632551975176646,0.243309853937703,2,0.992601433972343
404,100,12,202.022429693498,203.804820860416,205.001718967077,-0.45,0.611389763879121,0.25077072707773,0.137839509043149,2,1
404,100,13,209.009864792478,211.096160548251,212.94924449553,-0.4,0.670311411493963,0.236180069346416,0.0935085191596205,2,1
404,100,14,229.747883681319,228.274753748406,230.165667658861,-0.35,0.256395060915515,0.535544736590531,0.208060202493954,2,0.996737769488856
404,100,15,208.963415962078,209.925742650392,211.556892552942,-0.3,0.528684822036946,0.326761030640777,0.144554147322277,2,1
404,100,16,212.663265961093,213.056113453203,214.412777104179,-0.25,0.446702194650299,0.367039104929802,0.186258700419899,2,0.996029427420165
404,100,17,266.514713440544,268.625824957226,270.78866049102,-0.2,0.682123386129082,0.237378235938029,0.0804983779328887,2,1
404,100,18,226.47669363756,222.508185336328,223.669563762836,-0.15,0.0810155944052137,0.589276675045473,0.329707730549313,2,0.985189172838567
404,100,19,224.743908143075,226.318364964469,227.956692016167,-0.1,0.603968847681298,0.274868886943194,0.121162265375507,2,1
404,100,20,227.33097010169,229.207129807273,231.124736974275,-0.0499999999999999,0.648754929980856,0.253908808489292,0.0973362615298523,2,0.998960225312652
404,100,21,220.747717626713,222.622578850548,223.633574880379,0,0.614300535176138,0.240580238867775,0.145119225956087,2,0.999669260544333
404,100,22,263.880590540336,260.087829127377,262.258465907387,0.05,0.100887434012129,0.672085851153615,0.227026714834255,2,0.985329812488879
404,100,23,259.744805972414,261.027279268112,262.900459248965,0.1,0.577012737342459,0.303878421924118,0.119108840733422,2,0.995381372946493
404,100,24,210.360173522088,210.632179375876,212.428656589786,0.15,0.448765359149646,0.391700390982762,0.159534249867592,2,0.992964623255265
404,100,25,267.343451820395,264.818243802998,263.931092701896,0.2,0.0995768741134905,0.351965781319984,0.548457344566525,2,1
404,100,26,261.283489996705,263.409842873571,259.779211019247,0.25,0.288442854268392,0.0996157763466956,0.611941369384913,2,1
404,100,27,263.064269590765,265.17041970895,266.605985558062,0.3,0.658306077989417,0.229658845696597,0.112035076313986,2,0.999966776922901
404,100,28,232.563997682643,234.690610966322,236.172118560783,0.35,0.662277462524941,0.228692419393233,0.109030118081826,2,0.998597325786843
404,100,29,252.904449525252,247.832783545916,248.950383049306,0.4,0.0479656981962314,0.605660213003357,0.346374088800412,2,1
404,100,30,289.807313354708,289.868011644566,290.718341937748,0.45,0.383990878512417,0.372512149540042,0.243496971947541,2,1
404,100,31,245.474394614418,247.499594747017,248.56460536768,0.5,0.634291333162858,0.230421052563849,0.135287614273293,2,1
404,100,32,289.92189504351,292.048287476415,292.435512698218,0.55,0.613530472810507,0.211882890109824,0.174586637079669,2,1
404,100,33,259.29432908264,260.63995686422,257.328216706649,0.6,0.239069589724102,0.121990209212094,0.638940201063804,2,0.996702546763514
404,100,34,263.243182732341,265.363918751217,267.002723533516,0.65,0.667132111773218,0.231046753348367,0.101821134878416,2,0.999955941217199
404,100,35,252.146752909185,252.459640322336,252.600157050303,0.7,0.377025868220226,0.322424852792658,0.300549278987116,2,1
404,100,36,267.210874487733,269.337070415116,271.430047810259,0.75,0.681815584984053,0.235488305567749,0.0826961094481978,2,1
404,100,37,230.599250392673,232.725481294579,234.856811219703,0.8,0.682891980499569,0.235855951021976,0.0812520684784555,2,0.995968123263988
404,100,38,280.936060943848,280.848807533288,282.088747282307,0.85,0.383650075342513,0.400757930439109,0.215591994218379,2,0.996089249634326
404,100,39,281.481801279049,283.528941359898,284.574346512148,0.9,0.635990521790764,0.228517688784157,0.135491789425079,2,1
404,100,40,303.760261866802,305.826739235146,306.738556739079,0.95,0.632344091648746,0.225021287902238,0.142634620449017,2,1
404,100,41,288.109724834083,289.185709774794,284.123673531634,1,0.112087256022267,0.0654499134026504,0.822462830575083,2,0.988215251397911
