"run","b","sim","BM_AICc","OU_AICc","BS_AICc","cv","BM_wt","OU_wt","BS_wt","fc","lambda"
388,100,1,159.92998923125,153.412551086473,155.037965917428,-1,0.0259346784227229,0.674721545624448,0.299343775952829,2,1
388,100,2,189.582879563035,188.837933895924,189.876391247817,-0.95,0.301675156800313,0.437826902407313,0.260497940792374,2,1
388,100,3,225.06512808719,226.616387296135,228.609330759046,-0.9,0.613350462571347,0.282395024031167,0.104254513397486,2,1
388,100,4,151.210865261356,153.337234844177,155.247643801115,-0.85,0.676487696118474,0.233627850873973,0.0898844530075529,2,0.999853276050504
388,100,5,190.412649962528,188.615465869291,190.661647219815,-0.8,0.230463493631688,0.566051190942023,0.203485315426289,2,1
388,100,6,166.624251847403,167.722490564437,168.70326066977,-0.75,0.517842787550208,0.299032522607978,0.183124689841814,2,1
388,100,7,179.630637223704,179.227827594053,181.351719226927,-0.7,0.377921376431062,0.462243121624857,0.159835501944081,2,0.990204748875092
388,100,8,223.400186642211,225.508653462099,227.665641781192,-0.65,0.681675781751687,0.237536368324381,0.0807878499239318,2,1
388,100,9,244.302012482283,244.386013766652,245.523941828767,-0.6,0.399728803102987,0.38328762357833,0.216983573318683,2,0.995165621813641
388,100,10,197.880971474963,199.189759473347,200.703300074602,-0.55,0.567016813553973,0.294710924108721,0.138272262337306,2,0.999938582462607
388,100,11,171.467361956416,171.793742252315,172.623059565966,-0.5,0.414845878816019,0.352382392032189,0.232771729151791,2,1
388,100,12,207.152739613055,208.209873651506,210.308912953759,-0.45,0.556849113685978,0.328234172092078,0.114916714221944,2,1
388,100,13,256.774295425316,257.527420913254,259.485694281957,-0.4,0.51440778999317,0.352994887096869,0.132597322909961,2,1
388,100,14,224.350901401429,224.817577188495,226.644338868414,-0.35,0.474031735529116,0.375379073670736,0.150589190800147,2,1
388,100,15,253.378564520037,255.246867407146,257.336194175705,-0.3,0.653102976883088,0.256616658818658,0.090280364298254,2,1
388,100,16,293.844481808021,295.247731352173,295.950300689626,-0.25,0.542093498771119,0.268758638301878,0.189147862927003,2,0.996774584431999
388,100,17,222.606940727417,222.893898936184,220.436152561122,-0.2,0.207170364510848,0.179479746258893,0.61334988923026,2,1
388,100,18,258.691491146165,259.127853096485,260.899877683372,-0.15,0.468283593264597,0.376490609644884,0.155225797090519,2,1
388,100,19,234.759218447717,236.407691847732,238.314510110341,-0.1,0.622043256362974,0.272809277631901,0.105147466005125,2,0.999982494829289
388,100,20,244.976322664855,239.470332570687,241.631195400439,-0.0499999999999999,0.0454228398048626,0.712664031311659,0.241913128883478,2,0.999386449068474
388,100,21,240.808641292618,242.473834339997,244.640328944555,0,0.632056876781905,0.274893255725954,0.0930498674921405,2,1
388,100,22,269.722802578317,271.849326278738,273.697310873294,0.05,0.674582282095261,0.232951856501823,0.0924658614029157,2,1
388,100,23,306.519049022938,304.387170601325,306.536262498092,0.1,0.204290302373342,0.593170123439115,0.202539574187543,2,0.99487267504572
388,100,24,238.035113546852,239.660232453377,240.552965426456,0.15,0.578810964506456,0.256830538677873,0.164358496815671,2,0.997859274689017
388,100,25,264.58561328799,263.19762697775,265.314745600751,0.2,0.27054882192624,0.541555592372933,0.187895585700827,2,1
388,100,26,253.543768496011,255.670048427757,257.572011675429,0.25,0.676220662983095,0.233546098460293,0.0902332385566126,2,0.999897723660147
388,100,27,264.114231035069,263.164787544257,264.184867532596,0.3,0.279887430465493,0.449937747221173,0.270174822313335,2,0.996022668700466
388,100,28,215.059358683908,217.185551640666,213.888385283003,0.35,0.31834465893012,0.10995136708178,0.571703973988101,2,1
388,100,29,298.674228432943,296.976624970213,297.85945998951,0.4,0.206623248733441,0.482846506823783,0.310530244442776,2,0.987393219538949
388,100,30,290.750190478838,290.350830759314,291.450370235106,0.45,0.341805955896008,0.417349105655607,0.240844938448385,2,0.996175848827761
388,100,31,236.175369543719,235.853628278377,236.565237438188,0.5,0.333620021564968,0.391847729054503,0.274532249380529,2,1
388,100,32,282.076683738958,284.058528294241,285.530492550394,0.55,0.645549364190815,0.239649970873489,0.114800664935696,2,1
388,100,33,277.248620048495,278.741133982276,280.884783852579,0.6,0.611069606599708,0.289731290286044,0.0991991031142481,2,1
388,100,34,252.122846708811,253.943318796149,256.076576708637,0.65,0.648957909492295,0.261159626596408,0.0898824639112971,2,1
388,100,35,276.130341002971,278.076837362496,280.194890856742,0.7,0.662738488439582,0.250418193884552,0.0868433176758665,2,1
388,100,36,278.11177672929,278.790017501468,275.64221057156,0.75,0.194173647818577,0.138328662297249,0.667497689884173,2,1
388,100,37,249.913736276699,252.040073805448,253.537715500627,0.8,0.662827321889202,0.228913852369169,0.108258825741629,2,1
388,100,38,258.008027994526,260.13430608788,262.014190918052,0.85,0.675543821793424,0.233312552510612,0.0911436256959642,2,1
388,100,39,219.92466923418,254.594487316135,255.426639776209,0.9,0.999999950846334,2.96172436310929e-08,1.95364219706347e-08,2,0.999999953242542
388,100,40,255.817105942822,257.704119452631,259.857198065096,0.95,0.657069184193217,0.255771012359958,0.0871598034468251,2,1
388,100,41,261.874803775863,263.601994941867,263.294747695499,1,0.522656838545182,0.220374754180958,0.25696840727386,2,0.99849365969899
