"run","b","sim","BM_AICc","OU_AICc","BS_AICc","cv","BM_wt","OU_wt","BS_wt","fc","lambda"
564,100,1,161.842363240744,161.897182420493,164.050359337366,-1,0.433932563084742,0.422200174005947,0.14386726290931,2,1
564,100,2,224.984523770254,219.313289625746,221.461141749681,-0.95,0.041905550774692,0.714108825313453,0.243985623911855,2,1
564,100,3,238.004303206279,239.097242174473,241.186367094098,-0.9,0.560945109533453,0.324781800141302,0.114273090325245,2,1
564,100,4,219.10339914652,220.957676564807,223.069966870977,-0.85,0.65218773352461,0.258060420681427,0.0897518457939631,2,0.993100490403932
564,100,5,219.944562720442,215.585331983063,212.63422379286,-0.8,0.0206113411329686,0.182264118094661,0.797124540772371,2,0.986871251338485
564,100,6,251.346330432153,247.04427502218,248.902201051449,-0.75,0.0769948948813839,0.661669922039566,0.26133518307905,2,0.989679131226464
564,100,7,234.952306716211,233.029867595447,233.615672988448,-0.7,0.179667581197346,0.469809800382519,0.350522618420135,2,1
564,100,8,218.705136301749,213.036212016477,214.896652850565,-0.65,0.0404276317792175,0.688128537843209,0.271443830377574,2,0.972059844705779
564,100,9,228.272300338549,227.628592139241,229.298123991988,-0.6,0.335747013242931,0.463224602586688,0.201028384170381,2,1
564,100,10,244.943817957871,241.494564553489,243.604907737615,-0.55,0.116773332647963,0.655148174162321,0.228078493189716,2,0.998660813293134
564,100,11,245.107512741744,247.233821367703,249.078693767594,-0.5,0.674461546884477,0.232935211166334,0.0926032419491886,2,1
564,100,12,243.943110417763,235.942881016494,238.111472165848,-0.45,0.0135010445089904,0.73721660806937,0.24928234742164,2,0.998827860604012
564,100,13,243.113916679243,243.8224934972,244.709232049073,-0.4,0.464672087739155,0.326047657779486,0.209280254481359,2,1
564,100,14,181.399030365285,183.525246863723,176.495654224298,-0.35,0.0772003699815189,0.0266635109680999,0.896136119050381,2,1
564,100,15,230.769508047442,232.824769617154,234.766835736827,-0.3,0.669626405250547,0.239628346755598,0.0907452479938547,2,1
564,100,16,250.652991492631,250.379647289253,252.182605098373,-0.25,0.382866566766718,0.438938205200044,0.178195228033238,2,1
564,100,17,197.233604180875,196.493457455558,197.695216239657,-0.2,0.308476857233121,0.44662538846275,0.24489775430413,2,0.999585915793239
564,100,18,266.172146998524,268.298447782679,270.106796174985,-0.15,0.673311571180108,0.232538961910577,0.0941494669093153,2,1
564,100,19,289.336966123095,291.463283392832,293.321261783465,-0.1,0.674870686565492,0.233075506241699,0.0920538071928093,2,0.992504599624105
564,100,20,249.649267520511,246.434284564316,248.117651193516,-0.0499999999999999,0.12283489510883,0.612980187934526,0.264184916956643,2,0.999271747161925
564,100,21,199.780812796992,201.462951795247,203.099610084878,0,0.616712002796089,0.265956469161844,0.117331528042066,2,0.999522539254994
564,100,22,235.067376650429,233.53502833585,233.860927461589,0.05,0.20082244858131,0.43207333664227,0.36710421477642,2,0.992211373348353
564,100,23,206.799542859303,208.810142256612,210.854568246911,0.1,0.667736136204649,0.244347988384464,0.0879158754108863,2,1
564,100,24,267.062270124933,269.169277127719,267.703496619577,0.15,0.482062978526283,0.168102054959483,0.349834966514234,2,1
564,100,25,235.057032313394,235.089063162508,234.359111728036,0.2,0.293970226104412,0.289299668438525,0.416730105457062,2,1
564,100,26,283.54084905767,275.051895273173,277.099469998516,0.25,0.0104422650452302,0.728027199556163,0.261530535398607,2,0.966971940527532
564,100,27,277.06602499224,278.367852470885,279.974815419105,0.3,0.569764681159886,0.297171584090232,0.133063734749882,2,1
564,100,28,282.871080622928,283.975922127165,285.76482089581,0.35,0.55222366552398,0.317835007329338,0.129941327146681,2,0.995282928526767
564,100,29,245.587261171461,247.708962883929,249.45539183043,0.4,0.670816573828212,0.232210637720729,0.0969727884510583,2,1
564,100,30,275.185441806588,276.905922020334,279.028439100804,0.45,0.637166736678939,0.269560072079844,0.0932731912412169,2,1
564,100,31,270.399937671429,271.529397215898,273.056578988089,0.5,0.545424139644694,0.310081125262653,0.144494735092653,2,0.999339798564823
564,100,32,257.263809533179,258.173667024699,260.147569036109,0.55,0.534480402856194,0.339124168674288,0.126395428469518,2,1
564,100,33,271.634518956987,273.338863876377,273.120509312716,0.6,0.525714148207667,0.224210459221711,0.250075392570622,2,0.998440966074297
564,100,34,268.108997418606,269.905551914884,271.859677848133,0.65,0.640790075033474,0.260975010909066,0.0982349140574606,2,1
564,100,35,286.405342825915,285.557381544565,286.518050288484,0.7,0.287915876408845,0.439944675866684,0.272139447724471,2,0.997406561278015
564,100,36,240.0964021111,237.776457545693,239.946976000065,0.75,0.189846271025462,0.605580152013562,0.204573576960975,2,0.976054763783056
564,100,37,265.246091395741,265.511888499394,264.745593594249,0.8,0.316465814866768,0.277082881888038,0.406451303245195,2,0.997118721860639
564,100,38,273.082073056969,275.082122801532,275.404535394745,0.85,0.594894347145657,0.218843956767761,0.186261696086582,2,0.99311427358018
564,100,39,249.867976226919,247.795373863952,248.942638026359,0.9,0.184942729761989,0.521311311293796,0.293745958944215,2,0.999813736144456
564,100,40,239.86296367123,236.199261663054,235.037570617595,0.95,0.054319895684143,0.339251447998892,0.606428656316965,2,0.981730817643916
564,100,41,291.573939751077,291.956548714017,294.075413885642,1,0.473445666881161,0.391009820757645,0.135544512361194,2,1
