"run","b","sim","BM_AICc","OU_AICc","BS_AICc","cv","BM_wt","OU_wt","BS_wt","fc","lambda"
520,100,1,-706.885405744632,-704.758872973492,-702.593856549144,-1,0.683852617028225,0.23615208764895,0.0799952953228259,2,1
520,100,2,-87.0771455160137,-85.8924479535962,-84.8219094319848,-0.95,0.532813181420545,0.294659978883383,0.172526839696071,2,0.991023351461481
520,100,3,0.990481780103309,2.89319410809497,4.72068193299158,-0.9,0.648888167420213,0.250611573019131,0.100500259560656,2,1
520,100,4,-18.9305486085148,-18.3807041433523,-18.4290416141379,-0.85,0.394035038422271,0.2993213072998,0.306643654277929,2,0.974220065393599
520,100,5,52.8545939607538,51.0680478180502,52.1849664305409,-0.8,0.206577718537135,0.504692722558725,0.288729558904139,2,1
520,100,6,65.3044272605027,64.2975325594304,65.3544428648896,-0.75,0.275503564611977,0.455797174474608,0.268699260913415,2,0.998841637732252
520,100,7,108.541112515927,109.867570102719,111.942910767623,-0.7,0.589030637264398,0.303459878171383,0.107509484564219,2,0.997474241556794
520,100,8,65.1035350400577,66.8891590860406,68.7993853365831,-0.65,0.638135073120715,0.261317972511698,0.100546954367587,2,1
520,100,9,72.9861925507336,75.1124820788844,77.2654399280605,-0.6,0.683495638827254,0.236057521718112,0.0804468394546342,2,1
520,100,10,126.78632690689,128.798393678451,130.946273806857,-0.55,0.670870747977228,0.245315001879963,0.0838142501428093,2,1
520,100,11,129.241004242133,-1408.71609504003,132.074533076288,-0.5,0,1,0,2,0.999610516562737
520,100,12,132.605849684782,134.730105028995,132.819731487701,-0.45,0.445573582216874,0.154043453605296,0.40038296417783,2,0.997807428361878
520,100,13,161.729803435697,162.340232475066,164.511136748629,-0.4,0.503556474307788,0.37110362996535,0.125339895726862,2,1
520,100,14,159.913216568011,161.980082720515,163.942940242977,-0.35,0.671536535726386,0.238921571976985,0.0895418922966291,2,0.997970545105254
520,100,15,157.34746389847,159.473794075135,161.389507332292,-0.3,0.676644475767994,0.233686599680605,0.0896689245514002,2,1
520,100,16,175.663996966677,177.424210927594,179.194364733083,-0.25,0.630559226345129,0.261517213163136,0.107923560491734,2,1
520,100,17,141.177468569577,143.304220765017,145.192564879205,-0.2,0.675855731350448,0.233364950744117,0.0907793179054358,2,1
520,100,18,183.227039008334,185.286016163755,187.425408383388,-0.15,0.675791702809674,0.241385760293898,0.0828225368964284,2,1
520,100,19,184.364465149766,185.805767621731,186.600200985479,-0.1,0.551446798786969,0.268243226815695,0.180309974397336,2,0.998648755011748
520,100,20,185.070684580275,185.838685288111,187.712023217386,-0.0499999999999999,0.513323899482763,0.349640916515879,0.137035184001358,2,1
520,100,21,182.727390823788,184.853683892438,186.988783558254,0,0.683003212523912,0.235887035851303,0.0811097516247852,2,1
520,100,22,219.854361988297,221.315929698757,220.360910496401,0.05,0.442911703655911,0.2132758888485,0.343812407495588,2,1
520,100,23,220.627913488889,222.404505708006,223.968081477625,0.1,0.625161246187913,0.25716386810897,0.117674885703118,2,1
520,100,24,229.322894429808,231.382020915147,233.145451935002,0.15,0.664427956633791,0.237309029142154,0.0982630142240555,2,1
520,100,25,224.525133854811,226.590004068379,227.602645483211,0.2,0.636623687979997,0.226726312330262,0.13664999968974,2,0.995323521908189
520,100,26,220.936280398686,221.164168912641,222.430486623775,0.25,0.422646297502253,0.377130543281018,0.200223159216728,2,1
520,100,27,222.686083194998,223.861378425675,225.400335630722,0.3,0.551562173215176,0.306466040570538,0.141971786214286,2,0.993728549425371
520,100,28,243.631983877059,242.305125142272,243.998239562782,0.35,0.264963794710891,0.514411001790971,0.220625203498138,2,1
520,100,29,231.528191426394,233.526826255918,233.823928335751,0.4,0.593315804722728,0.218417724522705,0.188266470754567,2,1
520,100,30,233.927344398205,232.626120975033,234.579255560251,0.45,0.274834740799535,0.526779305699482,0.198385953500983,2,1
520,100,31,250.843394586505,251.214451993572,252.092503265432,0.5,0.422624792462286,0.351059619941938,0.226315587595776,2,0.997500354138356
520,100,32,198.326008714087,200.451580127713,202.326234535902,0.55,0.675305155668409,0.233312548458553,0.0913822958730383,2,0.997806669127014
520,100,33,240.299628394303,242.425971307924,242.457098833608,0.6,0.593336560225347,0.204913991281222,0.20174944849343,2,0.993336365896993
520,100,34,232.444694450822,234.065166079242,233.146193732989,0.65,0.465351509005068,0.206966560998795,0.327681929996137,2,1
520,100,35,236.902739116629,238.225818478322,240.289640257756,0.7,0.588256026930303,0.303573146769505,0.108170826300192,2,0.999971855261871
520,100,36,224.896358880496,223.35290380325,224.90891966301,0.75,0.240544216053809,0.520417545668941,0.23903823827725,2,0.999449467824712
520,100,37,268.119847386554,269.479222273565,271.339946561883,0.8,0.5859421694877,0.296941055958723,0.117116774553577,2,0.993221506815957
520,100,38,233.963259594378,236.089608096861,237.513474741666,0.85,0.660143117134516,0.227985585260661,0.111871297604824,2,1
520,100,39,256.975741816218,259.101978498351,259.514978013254,0.9,0.614886645008265,0.212367782069704,0.172745572922031,2,1
520,100,40,252.478203629938,254.297965531264,256.071136765883,0.95,0.637569629115141,0.256667774536592,0.105762596348267,2,0.999921107053954
520,100,41,249.040278078536,251.077629118906,252.14895978159,1,0.635969887919299,0.229631464599639,0.134398647481061,2,0.998883108624018
