"run","b","sim","BM_AICc","OU_AICc","BS_AICc","cv","BM_wt","OU_wt","BS_wt","fc","lambda"
168,100,1,-703.114244715459,-703.352194361448,-701.853043184488,-1,0.376135907729727,0.423657505093147,0.200206587177126,2,1
168,100,2,-103.437138695374,-101.831721600934,-100.695066704072,-0.95,0.587558763656755,0.263293062278566,0.14914817406468,2,0.994758648173594
168,100,3,-27.3731489746712,-25.7061773443784,-23.544031399765,-0.9,0.632135705389899,0.274683157716459,0.0931811368936425,2,1
168,100,4,6.40293234895044,7.6655836763189,3.2044884646012,-0.85,0.154295595343371,0.0820677026941291,0.7636367019625,2,1
168,100,5,56.1251436383272,57.9434128585324,60.1049739530719,-0.8,0.649527903518095,0.261677070087972,0.0887950263939327,2,0.99726935999825
168,100,6,66.037599102395,66.5537277162897,67.9478243934027,-0.75,0.463539307543981,0.358105229508021,0.178355462947998,2,1
168,100,7,27.9495111911924,29.7026834245744,31.4723286866931,-0.7,0.629721328337352,0.262090868210682,0.108187803451966,2,1
168,100,8,110.557317383585,112.683657012674,114.480795215679,-0.65,0.672959718848325,0.2324129299821,0.0946273511695752,2,1
168,100,9,103.978905766159,106.105207264213,108.232524175231,-0.6,0.682788198293986,0.235811783069751,0.0814000186362629,2,1
168,100,10,134.814256714049,136.940614537656,139.030709041043,-0.55,0.6817518255912,0.235447224303532,0.0828009501052682,2,0.999317497567696
168,100,11,144.56047181964,141.072754346036,143.238768618899,-0.5,0.115529322770523,0.660754993874368,0.223715683355109,2,0.995303190393563
168,100,12,156.502349278518,158.254055332417,160.41938159237,-0.45,0.64202400290901,0.267407219652132,0.0905687774388579,2,0.993087357485486
168,100,13,161.745812132317,163.87185853903,166.041820830245,-0.4,0.683935192575985,0.236238045038359,0.0798267623856562,2,0.998574058584174
168,100,14,142.323733349035,140.801209996288,142.836493428695,-0.35,0.255439353983523,0.546889458817612,0.197671187198866,2,1
168,100,15,194.949097311083,194.518062880924,196.108208993719,-0.3,0.357059911663177,0.442934012320893,0.200006076015929,2,1
168,100,16,198.067014684364,198.640178060657,200.554803626957,-0.25,0.49041600751971,0.368216962961494,0.141367029518796,2,0.998073219217997
168,100,17,176.091401127488,178.213128965434,179.613519204289,-0.2,0.658753114693054,0.228031758075164,0.113215127231781,2,0.999420334086864
168,100,18,176.757129065935,176.837889954326,178.787825094637,-0.15,0.430533373007564,0.41349457644879,0.155972050543646,2,1
168,100,19,188.6179605639,190.403102868666,191.637600465388,-0.1,0.613289615538174,0.25120419341799,0.135506191043835,2,1
168,100,20,207.978640866834,210.104890192141,210.188227730572,-0.0499999999999999,0.596425888302926,0.205990556789763,0.197583554907311,2,1
168,100,21,180.193219773637,182.319482364844,183.90394810516,0,0.665881534739582,0.229977271241005,0.104141194019412,2,0.999975986042796
168,100,22,230.894044469108,229.359310125253,230.975121943662,0.05,0.243051202281656,0.523553541993554,0.23339525572479,2,0.999919513126937
168,100,23,199.785552484726,201.759873574691,203.07962976363,0.1,0.638874458071763,0.238065875657945,0.123059666270291,2,0.999528114112137
168,100,24,206.275838337978,-1791.82808499066,209.959428083448,0.15,0,1,0,2,0.997401043934601
168,100,25,218.878987559779,220.817636364069,222.961915017047,0.2,0.662612469761486,0.251354905607073,0.0860326246314418,2,1
168,100,26,223.934291525998,220.174292211922,221.339230377128,0.25,0.0891762392587579,0.584416717141363,0.326407043599879,2,0.988244236237843
168,100,27,240.470429884685,241.197341178075,242.084905001851,0.3,0.466993326481021,0.324686246509862,0.208320427009116,2,1
168,100,28,264.97764098609,267.103878470216,269.184031480177,0.35,0.6814575848149,0.235359767535283,0.0831826476498171,2,0.998761211301526
168,100,29,190.635608610902,192.761895693782,194.917392756606,0.4,0.683565146604144,0.236081816121862,0.0803530372739936,2,1
168,100,30,235.449551657756,236.595874774487,237.905352499471,0.45,0.538605278159789,0.303633512069618,0.157761209770593,2,0.998184518940569
168,100,31,249.564780950734,250.01012096643,251.609959606539,0.5,0.462954095270016,0.370538700857915,0.166507203872069,2,1
168,100,32,273.151163021287,274.693245877009,276.048140844466,0.55,0.589116842641973,0.272484875748119,0.138398281609908,2,0.995991940516432
168,100,33,245.006538503739,246.755498260286,248.890610631124,0.6,0.640824129722793,0.267274219957681,0.0919016503195263,2,0.999964426481105
168,100,34,229.589562671298,231.610738921294,233.70289638104,0.65,0.670293249181419,0.243989984416197,0.0857167664023837,2,0.993658825330008
168,100,35,247.727280625818,249.272028168417,250.803398245347,0.7,0.596405009655702,0.275488589794311,0.128106400549987,2,1
168,100,36,274.83145577007,276.957743638913,277.301105743515,0.75,0.611152075780119,0.21107254516042,0.177775379059461,2,1
168,100,37,266.387680657661,-766.088725063553,270.535601802999,0.8,6.31825500387992e-225,1,7.94122530100116e-226,2,0.993794276082418
168,100,38,277.898803323015,280.024998348859,281.773858462229,0.85,0.671391469236678,0.231888085596987,0.0967204451663357,2,0.999492283942245
168,100,39,244.365573119676,239.312275161523,229.97146392749,0.9,0.000741288243267856,0.00927463488311719,0.989984076873615,2,1
168,100,40,231.677846970444,233.804103880642,235.839462142147,0.95,0.680178182439619,0.234915609642702,0.0849062079176785,2,1
168,100,41,274.542276440037,276.668470936078,277.86343197742,1,0.651290324610118,0.224945525030945,0.123764150358938,2,1
