"sim","b","BM_AICc","OU_AICc","BS_AICc","BM_wt","OU_wt","BS_wt"
1,25,73.6525142354665,75.8486671613577,76.3603895398822,0.628245887519339,0.209527536009876,0.162226576470784
2,25,52.5722823840293,54.773366967425,57.0554274796722,0.694935800606387,0.231198621953575,0.0738655774400377
3,25,57.3160463550315,58.5069422210055,61.2421588530609,0.591105934782391,0.325885898346014,0.0830081668715951
4,25,71.9203985799238,74.0083223892579,75.6133129107298,0.662316431875065,0.233173201347077,0.104510366777858
5,25,73.0105140338687,75.6079260313998,78.3245996662893,0.744579430796349,0.203184318053021,0.0522362511506299
6,25,68.8379353395969,70.7473262636862,73.1420446961761,0.666145111318884,0.2564188062397,0.0774360824414151
7,25,68.4481650316269,71.0455561717037,66.9704291971775,0.297048678068065,0.0810608781563656,0.62189044377557
8,25,73.9730052131203,76.5624194262464,79.374733138356,0.74564233177466,0.204289668569561,0.0500679996557785
9,25,73.6952393660519,76.1887281074588,78.1501034594682,0.716720524879245,0.206013481314134,0.0772659938066206
10,25,88.9544995363938,86.4915788947636,88.1387361224402,0.168638086354788,0.577792748976137,0.253569164669075
11,25,65.1138342505944,67.4887366167191,70.00730572982,0.71861103984155,0.219174683732936,0.0622142764255133
12,25,70.7862869731248,73.3836794125844,76.1308889148426,0.745167361925424,0.203346743975089,0.0514858940994868
13,25,66.5718375408271,69.1692394847616,71.0895610292636,0.72602903718743,0.198123195793226,0.075847767019344
14,25,88.0899788831433,90.6874015433377,93.2741558831344,0.741979160474371,0.202473664666921,0.055547174858708
15,25,77.8134621264817,79.6895647771866,82.4627798781707,0.671498505742925,0.262817655167298,0.0656838390897771
16,25,83.5199479007873,86.1173645732812,88.9011147669486,0.745864895082831,0.203534625801668,0.0506004791155
17,25,71.0375047316984,73.6157138605301,75.1511952565926,0.712568389167317,0.196324976177137,0.0911066346555458
18,25,81.2632191620445,83.8606161567199,86.6937887589913,0.746785373436957,0.203787814693546,0.0494268118694977
19,25,75.5568796562602,78.1542788411426,80.8887703076728,0.744923338211977,0.203279467387341,0.0517971944006817
20,25,60.4368626753201,63.0342729767969,65.7232761377846,0.744037815434404,0.203036691700033,0.052925492865563
21,25,57.0770563116082,58.9753104027033,61.1178434626916,0.658032385285865,0.254710371681986,0.0872572430321491
22,25,71.687927983116,73.4545529363861,76.1964779350266,0.65860497592028,0.272274690591354,0.0691203334883657
23,25,72.045977862893,73.7579225351448,76.3315314455423,0.648424973398158,0.27549623664631,0.076078789955532
24,25,76.4731620716362,79.0235692450906,81.5925520826967,0.737081319191551,0.205921419543984,0.0569972612644648
25,25,76.3889492646055,78.9863867507006,80.7449919882837,0.721424404358928,0.196863157229122,0.0817124384119498
26,25,73.25274109919,75.2789070302087,78.0862288482136,0.688558482316536,0.250014093603747,0.0614274240797164
27,25,50.5641773668665,51.3484318493051,53.9851274498577,0.538677579084297,0.363940345126051,0.0973820757896516
28,25,85.6536330262457,83.5527836596601,85.86092073087,0.210065882492512,0.600549993371624,0.189384124135864
29,25,67.6569918373764,70.2544052033858,71.6963645939597,0.711449284749643,0.194143475983708,0.0944072392666496
30,25,75.7269500194886,75.6487937071427,77.8112237582124,0.4179637556746,0.434620343321346,0.147415901004054
31,25,77.5521149241168,77.9670858910548,80.6640026699232,0.494165101354385,0.401570934357333,0.104263964288283
32,25,48.8087877720177,51.406189277582,54.1970348908179,0.745997139400517,0.203572256942521,0.0504306036569617
33,25,65.2076909284933,66.583218772368,69.1056743142859,0.607859691303284,0.305570390390384,0.0865699183063326
34,25,65.5481354224332,66.5178384979161,65.0732629169648,0.346766756801981,0.213535019632166,0.439698223565853
35,25,89.244471185501,91.8418800621805,94.1659025471928,0.736236645484364,0.200908013273189,0.0628553412424464
36,25,69.6173534595062,71.086375207396,71.0862851795368,0.51033382479409,0.244827577153273,0.244838598052637
37,25,71.2981321262394,73.6974874075979,75.6218824539104,0.706015055284133,0.212716208175766,0.0812687365401013
38,25,69.590566558179,72.1879649613502,73.9290236984663,0.720901393653258,0.196724281682611,0.0823743246641307
39,25,70.5463990236674,73.1232305608617,75.8213944540923,0.74225423522834,0.204644852712937,0.0531009120587231
40,25,76.1954532432465,78.6703839286445,80.5801844092931,0.713383309230113,0.206965794130232,0.0796508966396553
41,25,77.3404975217082,79.937898483489,80.8110710988487,0.69001883541789,0.188296606558078,0.121684558024032
42,25,72.2948217067089,74.1843354643867,73.5507800076685,0.520171400122321,0.202229156806137,0.277599443071542
43,25,69.4620870954173,71.4679080629554,74.2238205614388,0.685269125674395,0.251363767166392,0.0633671071592129
44,25,65.3330728630786,67.9279017827031,70.6197156358828,0.743847272281343,0.203246855000604,0.0529058727180527
45,25,60.6501759221376,62.3626086851541,64.9259491537825,0.648226794646705,0.275344831630277,0.0764283737230183
46,25,61.6020948966097,63.3897277915723,64.9806517643239,0.627453260453603,0.256685791416886,0.11586094812951
47,25,72.1556745171375,72.9693116692522,75.765370964932,0.546369151475827,0.363753439036884,0.0898774094872893
48,25,60.7769313712476,60.6403202979331,63.4943831968778,0.429612246260128,0.459982564561535,0.110405189178337
49,25,71.1719787180896,73.728668605551,76.5618856875052,0.742918111312483,0.206901095866308,0.0501807928212085
50,25,71.7970458932224,74.0462794531102,73.2613570891568,0.553817733534428,0.179867209175012,0.26631505729056
1,100,305.968763002449,307.798740425568,309.849597558414,0.64759912705075,0.259377145372653,0.0930237275765968
2,100,297.586594732044,299.712878299588,300.893978912217,0.650740368956471,0.224745569485819,0.12451406155771
3,100,263.668866985983,265.794927359663,267.515216648204,0.670443578679644,0.231576289661479,0.0979801316588771
4,100,244.647791538326,245.804487995229,245.39485187223,0.444617513878627,0.249352152585497,0.306030333535875
5,100,262.279737885306,262.684697204275,262.123303778166,0.345058365970176,0.281810235302482,0.373131398727342
6,100,228.303018281467,230.429417237884,232.588117873902,0.683665165482005,0.236103152267072,0.0802316822509236
7,100,245.994308418042,241.444552902219,242.617607131389,0.0619683144183685,0.60274905819934,0.335282627382292
8,100,244.998759036487,246.95298950361,249.10309428223,0.664517394159687,0.250121255070951,0.0853613507693617
9,100,225.371896783465,226.673368060729,228.18401661301,0.566004948035687,0.295263205814649,0.138731846149664
10,100,266.79511803665,268.921085235038,271.062688829742,0.683147852961658,0.235975435498016,0.0808767115403258
11,100,241.454922263694,242.668658683705,243.346777969418,0.517230419910403,0.281919128571647,0.20085045151795
12,100,293.078189117413,295.204484640249,297.167015916526,0.678047434552117,0.234175184400349,0.087777381047534
13,100,266.715766366791,268.842068839675,270.851083444995,0.679418282729925,0.234647814666295,0.0859339026037802
14,100,298.860547111813,300.986810383751,302.623887708212,0.667686900500351,0.230600716712179,0.10171238278747
15,100,273.836411537312,275.962723132001,276.545453415885,0.623661044233172,0.215390190987646,0.160948764779182
16,100,296.522738110012,298.649040322354,300.740750074091,0.681791367919906,0.235467427721995,0.0827412043580989
17,100,262.643459813381,261.112743685078,262.493514140995,0.236539771586054,0.508504683224743,0.254955545189203
18,100,289.490759649015,291.617004484112,292.177962445899,0.622556438045466,0.215015876633309,0.162427685321225
19,100,268.383690220842,266.630735389475,268.618810359586,0.23301826104782,0.55980820823552,0.20717353071666
20,100,276.5633327029,278.689566934317,280.176029202412,0.662413792485842,0.228782851997948,0.10880335551621
21,100,309.828414970454,311.869922396164,313.886267199638,0.670331191334573,0.24153591848526,0.0881328901801666
22,100,260.235775428444,261.190243138362,263.183003614533,0.54065936320178,0.33547773235825,0.12386290443997
23,100,228.048211695403,230.174533411691,231.528716039551,0.657531975406028,0.227086848431642,0.115381176162329
24,100,260.737639090985,262.852595097447,264.785392585484,0.67591641955059,0.234766505233244,0.0893170752161658
25,100,281.047002824971,283.173323214779,285.086977858435,0.676580926470523,0.233665795656959,0.0897532778725189
26,100,280.879413052192,282.297034276039,284.447212251038,0.602333037863514,0.29648597025448,0.101180991882006
27,100,250.256769054938,250.058035003656,249.481648121412,0.279497179509776,0.308696695531599,0.411806124958626
28,100,277.689159305243,279.815476056947,281.969519521801,0.683528422825074,0.236065630967339,0.0804059462075867
29,100,275.992439679206,277.536372946891,279.094415101972,0.597320959280606,0.276024037776982,0.126655002942412
30,100,263.076648244671,262.718958611838,264.732515810934,0.37982573160273,0.454208962921581,0.165965305475689
31,100,244.412464900992,246.529739377297,243.225225185055,0.316710397548726,0.109875789977313,0.573413812473961
32,100,274.965756317139,276.012777905457,277.707814526795,0.541628904382427,0.320880986084436,0.137490109533137
33,100,247.21358543679,249.340893893758,251.143202985136,0.673230764187794,0.232393935891095,0.0943752999211116
34,100,243.240626392239,243.72868445709,245.883780346996,0.487762227245677,0.382144578762276,0.130093193992047
35,100,260.470419173936,262.425537734749,264.526042648892,0.663195290635356,0.249512801481291,0.0872919078833532
36,100,276.367979985798,276.936745514325,278.751633066248,0.486347102067549,0.365965770755344,0.147687127177107
37,100,228.144213388984,230.270206526604,231.129703586225,0.636872084037719,0.219987836592812,0.143140079369469
38,100,273.587370255457,275.71349504738,277.770756044784,0.680793415036555,0.235143627631761,0.0840629573316843
39,100,249.15035287578,251.276805879611,251.680680561612,0.61442693046203,0.212186055715972,0.173387013821998
40,100,287.95802422704,289.917961697935,290.685418823605,0.613107097736771,0.230113092835589,0.15677980942764
41,100,243.22200749743,245.308469310174,247.423698485946,0.678118974258972,0.238911178416497,0.0829698473245304
42,100,289.573683237066,291.7007280567,293.840633324739,0.683217546358719,0.23587238445526,0.0809100691860214
43,100,251.007213676155,252.826214120075,252.118311628446,0.505949295152212,0.203758656090327,0.290292048757461
44,100,276.03104094594,278.157425593369,280.265537848149,0.68226137373066,0.235620039779876,0.0821185864894638
45,100,276.232969384103,278.35889182911,280.223541317366,0.675034320341581,0.233178047014241,0.0917876326441779
46,100,280.698997349725,279.725660333301,281.814980307525,0.312573774983023,0.508522279898412,0.178903945118565
47,100,266.434057496382,267.52675524395,268.228118243672,0.503312047085241,0.291447963183155,0.205239989731604
48,100,278.791059990375,280.917309921306,282.818904521027,0.676206130778989,0.233544582715643,0.0902492865053677
49,100,260.692610195862,259.162866452602,261.333744622566,0.258100728987988,0.554585951942941,0.187313319069071
50,100,296.302805118147,295.294500634749,297.298008144483,0.306413051679528,0.507291746778579,0.186295201541893
