"","run","b","sim","BM_AICc","OU_AICc","BS_AICc","pr","BM_wt","OU_wt","BS_wt","fc","lambda"
"130",38,25,12,69.6503853307747,67.5990592360815,67.3021978459335,0.8,0.142365904601231,0.397050542503377,0.460583552895392,2,0.713380307494769
"131",38,25,12,73.221879078627,69.4781166214978,67.3021978780123,0.9,0.0373198248779388,0.242598038727011,0.72008213639505,2,0.566039732517206
"132",38,25,12,77.1760534055369,71.4700073277405,67.3021978224948,1,0.00634189293065627,0.109969200627197,0.883688906442146,2,0.0220475251075317
"133",38,25,13,66.1247477503448,66.7974081729265,66.7093955168446,0,0.406353106930929,0.290293445331216,0.303353447737855,2,0.90680083261005
"134",38,25,13,66.080271117084,66.7643231152713,66.7093955135319,0.1,0.409762479013135,0.291066473761282,0.299171047225582,2,0.907633724680702
"135",38,25,13,66.0359890644249,66.7313698161908,66.7093955052491,0.2,0.413148316224928,0.291813900431315,0.295037783343757,2,0.908463941441844
"136",38,25,13,65.9919021610364,66.6985496764495,66.7093955076102,0.3,0.416510292032996,0.292535905901979,0.290953802065025,2,0.909292584741217
"137",38,25,13,65.9480120573928,66.6658639475055,66.7093955280806,0.4,0.419847960848981,0.293232761855808,0.286919277295212,2,0.910117407820594
"138",38,25,13,65.9043197686868,66.6333132994893,66.7093957292094,0.5,0.423160948311584,0.29390477894503,0.282934272743386,2,0.910938823594287
"139",38,25,13,65.8608268455507,66.6008974914266,66.7093972385579,0.6,0.426448834069432,0.29455244531052,0.278998720620047,2,0.911758659427795
"140",38,25,13,65.8175337477894,66.568619598665,66.7093955152486,0.7,0.429711221513883,0.295175613661352,0.275113164824765,2,0.91257924770689
"141",38,25,13,65.7744419842313,66.5364798462862,66.70939551233,0.8,0.432947992661043,0.295774896565661,0.271277110773296,2,0.913400021163245
"142",38,25,13,65.7315527269453,66.5044797931146,66.7093955589357,0.9,0.436158780243404,0.296350483230234,0.267490736526363,2,0.914218106320772
"143",38,25,13,65.6888664429391,66.4726189023633,66.709395498717,1,0.439343277832387,0.296902805743991,0.263753916423623,2,0.915024848217836
