"","run","b","sim","BM_AICc","OU_AICc","BS_AICc","pr","BM_wt","OU_wt","BS_wt","fc","lambda"
"1",2,100,1,211.882917341752,211.694296002126,183.612191189169,0,7.26255031586686e-07,7.98082444584783e-07,0.999998475662524,2,0.973483052479038
"2",2,100,1,201.929978532483,202.998676063621,183.612191071822,0.1,0.000105261724522994,6.16887202209674e-05,0.999833049555256,2,0.979532127155536
"3",2,100,1,193.273689037592,195.07861281931,183.612191234647,0.2,0.0078920159817735,0.00320076461150682,0.98890721940672,2,0.985153502896121
"4",2,100,1,186.3680016389,188.464495292312,183.612191009004,0.3,0.188071173442078,0.0659286862584958,0.746000140299426,2,0.99038955745917
"5",2,100,1,181.647349007155,183.773537513416,183.612193114601,0.4,0.581466808278496,0.200830172445559,0.217703019275945,2,0.995426052106883
"6",2,100,1,179.451028644061,181.577216295045,183.612191618561,0.5,0.680159590602867,0.234917323466124,0.0849230859310089,2,1
"7",2,100,1,179.949742362015,182.075967198483,183.612190927049,0.6,0.6641885933218,0.229396905943869,0.106414500734331,2,1
"8",2,100,1,183.103982522363,185.230166026527,183.612191403277,0.7,0.471476363263435,0.162841480900364,0.365682155836201,2,0.994785979308095
"9",2,100,1,188.67394014781,190.704812766402,183.61219199455,0.8,0.0718043749877157,0.0260107287692509,0.902184896243033,2,0.988628685344036
"10",2,100,1,196.276082485833,197.864880870929,183.612191206322,0.9,0.00177398911138833,0.000801581645241434,0.99742442924337,2,0.982348165228115
"11",2,100,1,205.460697890659,206.122541998839,183.612191168397,1,1.80153872728615e-05,1.29397528231406e-05,0.999969044859904,2,0.975703243085907
"12",2,100,2,207.980046155,205.973743566067,206.694862974205,0,0.177674691665644,0.484494266685289,0.337831041649067,2,0.984569414597335
"13",2,100,2,207.675596270786,205.72950386823,206.69486350508,0.1,0.189433160562242,0.501238707089987,0.309328132347771,2,0.98474489837329
"14",2,100,2,207.39842625329,205.507149726116,206.694863326796,0.2,0.200157970504856,0.515297895290415,0.284544134204729,2,0.984905686498796
"15",2,100,2,207.148765195332,205.306930233867,206.694863990602,0.3,0.209803639168024,0.526941492490365,0.26325486834161,2,0.985046445961944
"16",2,100,2,206.926821934194,205.129076527475,206.694862937197,0.4,0.21834991647641,0.536449055680727,0.245201027842862,2,0.985172222922178
"17",2,100,2,206.732782554696,204.973789108769,206.694863241285,0.5,0.225793411280553,0.544091371356847,0.2301152173626,2,0.985287674858739
"18",2,100,2,206.566810613453,204.841253415942,206.694863020502,0.6,0.232141552295086,0.55011421679431,0.217744230910604,2,0.985381079854691
"19",2,100,2,206.429046704762,204.73162467809,206.694863031269,0.7,0.237406842090986,0.554732666675829,0.207860491233185,2,0.98547336592
"20",2,100,2,206.319607896261,204.64503414043,206.694863306591,0.8,0.241603425579792,0.558125876798025,0.200270697622183,2,0.985534691124697
"21",2,100,2,206.238587454396,204.581587175148,206.694863058328,0.9,0.244744346415048,0.560435590383955,0.194820063200997,2,0.98559311920995
"22",2,100,2,206.186054580357,204.541362823955,206.694863027488,1,0.246839789262792,0.561765991479598,0.19139421925761,2,0.985635434143632
"23",2,100,3,195.363408776043,194.263057128694,196.235089302939,0,0.295833585024354,0.512844616328168,0.191321798647478,2,1
"24",2,100,3,195.198495842312,194.119263273354,196.23508941529,0.1,0.302034273052549,0.51809404629987,0.17987168064758,2,1
"25",2,100,3,195.13338150341,194.064597605443,196.235089181518,0.2,0.304611723356867,0.519792595089786,0.175595681553347,2,1
"26",2,100,3,195.168259678789,194.099270588349,196.235089204115,0.3,0.30365750542685,0.518217472180388,0.178125022392762,2,1
"27",2,100,3,195.303026227675,194.223191650541,196.235089838151,0.4,0.299100998617671,0.513216915452233,0.187682085930096,2,1
"28",2,100,3,195.537278074949,194.43596721661,196.235088985069,0.5,0.290710415005378,0.504205066565017,0.205084518429605,2,1
"29",2,100,3,195.870317600069,194.736905705531,196.235088874338,0.6,0.27810750479327,0.490151091756134,0.231741403450597,2,1
"30",2,100,3,196.301159523347,195.125021753258,196.2350888993,0.7,0.260817734751039,0.469604435682737,0.269577829566224,2,1
"31",2,100,3,196.828540420316,195.599056515454,196.235088881289,0.8,0.238400296919669,0.440844908898061,0.32075479418227,2,1
"32",2,100,3,197.450930547005,196.157479982758,196.235088904515,0.9,0.210708766462216,0.40230166129431,0.386989572243474,2,1
"33",2,100,3,198.166550623944,196.798520750189,196.235089306764,1,0.178300003808143,0.353358274129146,0.468341722062711,2,1
"34",2,100,4,239.677016859146,241.180223224111,231.245860578156,0,0.0144498389011716,0.00681468664094585,0.978735474457883,2,0.998271883291173
