"fc","b","sim","BM_AICc_exp","OU_AICc_exp","WN_exp","Static_exp","BM_wt","OU_wt","WN_wt"
1,25,1,-17.9234896191612,-15.3260868125653,7.2259545799704,FALSE,0.785614215764645,0.214383067314958,2.71692039652249e-06
1,25,2,-4.79494095469544,-4.12406909160884,10.2910910543872,FALSE,0.582901364925758,0.416789815482437,0.000308819591804796
1,25,3,-17.0036446979392,-14.7810872541262,17.9950557139051,FALSE,0.752367413640399,0.247632567455382,1.89042192642052e-08
1,25,4,-20.6604391414571,-18.1059060362085,-4.19795193622602,FALSE,0.781821373682524,0.217970501503189,0.000208124814286804
1,25,5,-13.5160156130144,-11.819698512857,14.3624097452341,FALSE,0.700180280507972,0.299819100782611,6.18709417781181e-07
1,25,6,-16.2322827054786,-13.6459092998342,12.016720340006,FALSE,0.784685631208526,0.215313792685168,5.76106306174061e-07
1,25,7,-16.0927833616377,-14.9426073114055,14.2089712151215,FALSE,0.639936271813384,0.360063559843902,1.68342713983436e-07
1,25,8,-10.2703495621917,-11.5493367868341,9.85413248247684,FALSE,0.345355929785513,0.654629337215272,1.47329992143642e-05
1,25,9,-9.00498893147543,-6.4076237833193,18.7636575531273,FALSE,0.785612602779743,0.214386663849695,7.33370561307734e-07
1,25,10,-16.6267103529177,-16.1318560231476,-1.03156842044912,FALSE,0.561413651136911,0.438355758620771,0.000230590242317788
1,25,11,-28.6064288877119,-26.0090236659465,11.8146141295315,FALSE,0.785616552576446,0.214383446111679,1.31187560942942e-09
1,25,12,4.8337016779578,4.89134165815696,18.6245049308973,FALSE,0.506944178371,0.492542575995553,0.000513245633446945
1,25,13,-2.82381700685442,-4.35523809593471,7.03298926383254,FALSE,0.316680185801909,0.681027666467454,0.00229214773063627
1,25,14,-8.08125646036638,-5.48385382004798,11.8441641129187,FALSE,0.785587252172697,0.214375727152969,3.70206743341442e-05
1,25,15,-13.6218609517445,-11.3065392327838,12.0726636115476,FALSE,0.760905896391719,0.239092099893817,2.00371446336877e-06
1,25,16,-11.6169912463862,-10.5373388024941,-0.565960934542257,FALSE,0.630185899848112,0.367303555558566,0.00251054459332221
